lead_id,created_date,lead_source,company_size,industry,sales_rep,current_stage,mql_date,demo_booked_date,days_mql_to_demo_booked,demo_completed_date,trial_start_date,closed_date,deal_value,churned
L-0982,6/6/2025,Paid Ads,Startup (1-10),FinTech,Tom Wilson,MQL,6/9/2025,,,,,,0,FALSE
L-0983,7/17/2025,Organic Search,SMB (11-50),SaaS,Alex Thompson,MQL,7/18/2025,,,,,,0,FALSE
L-0984,1/26/2026,Paid Ads,Mid-Market (51-200),HealthTech,Maria Santos,Lead,,,,,,,0,FALSE
L-0985,5/21/2025,Cold Outreach,Mid-Market (51-200),SaaS,Priya Patel,MQL,5/26/2025,,,,,,0,FALSE
L-0986,6/18/2025,Paid Ads,SMB (11-50),SaaS,Tom Wilson,MQL,6/20/2025,,,,,,0,FALSE
L-0987,11/16/2025,LinkedIn,Enterprise (200+),EdTech,Alex Thompson,MQL,11/17/2025,,,,,,0,FALSE
L-0988,2/1/2026,Paid Ads,SMB (11-50),FinTech,James Chen,Closed Lost,2/3/2026,2/11/2026,8,2/11/2026,2/18/2026,,0,FALSE
L-0989,7/4/2025,Organic Search,SMB (11-50),Marketing,James Chen,Closed Lost,7/9/2025,7/10/2025,1,7/12/2025,7/14/2025,,0,FALSE
L-0990,12/30/2025,Paid Ads,Startup (1-10),SaaS,Maria Santos,MQL,12/31/2025,,,,,,0,FALSE
L-0991,4/27/2025,Cold Outreach,Startup (1-10),E-commerce,Alex Thompson,Lead,,,,,,,0,FALSE
L-0992,2/27/2026,Paid Ads,Mid-Market (51-200),HealthTech,Maria Santos,MQL,3/4/2026,,,,,,0,FALSE
L-0993,10/27/2025,Paid Ads,Enterprise (200+),Marketing,James Chen,Lead,,,,,,,0,FALSE
L-0994,7/22/2025,Paid Ads,Enterprise (200+),FinTech,Alex Thompson,Lead,,,,,,,0,FALSE
L-0995,3/3/2026,Paid Ads,Startup (1-10),FinTech,Tom Wilson,Lead,,,,,,,0,FALSE
L-0996,3/1/2026,LinkedIn,Mid-Market (51-200),HealthTech,Priya Patel,MQL,3/6/2026,,,,,,0,FALSE
L-0997,1/23/2026,LinkedIn,Startup (1-10),Marketing,James Chen,Lead,,,,,,,0,FALSE
L-0998,11/9/2025,LinkedIn,SMB (11-50),HR Tech,James Chen,Demo Booked,11/13/2025,11/15/2025,2,,,,0,FALSE
L-0999,4/11/2025,Paid Ads,SMB (11-50),E-commerce,Alex Thompson,MQL,4/13/2025,,,,,,0,FALSE
L-1000,11/5/2025,Referral,Startup (1-10),E-commerce,Maria Santos,Closed Lost,11/9/2025,11/14/2025,5,11/14/2025,11/15/2025,,0,FALSE
L-1001,8/16/2025,Referral,Startup (1-10),SaaS,Maria Santos,Closed Lost,8/21/2025,8/22/2025,1,8/22/2025,8/26/2025,,0,FALSE
L-1002,12/2/2025,Cold Outreach,Mid-Market (51-200),Marketing,Alex Thompson,MQL,12/3/2025,,,,,,0,FALSE
L-1003,5/23/2025,Paid Ads,SMB (11-50),FinTech,Maria Santos,MQL,5/24/2025,,,,,,0,FALSE
L-1004,7/26/2025,LinkedIn,Startup (1-10),SaaS,Maria Santos,Demo Completed,7/28/2025,8/5/2025,8,8/5/2025,,,0,FALSE
L-1005,5/10/2025,Cold Outreach,Startup (1-10),Marketing,Alex Thompson,Lead,,,,,,,0,FALSE
L-1006,2/4/2026,Paid Ads,Enterprise (200+),HealthTech,Maria Santos,MQL,2/8/2026,,,,,,0,FALSE
L-1007,2/14/2026,Organic Search,Mid-Market (51-200),E-commerce,Alex Thompson,Lead,,,,,,,0,FALSE
L-1008,8/14/2025,Paid Ads,Startup (1-10),HR Tech,Alex Thompson,Lead,,,,,,,0,FALSE
L-1009,3/2/2026,LinkedIn,Startup (1-10),FinTech,James Chen,Closed Lost,3/4/2026,3/8/2026,4,3/10/2026,3/13/2026,,0,FALSE
L-1010,11/4/2025,Paid Ads,SMB (11-50),EdTech,Priya Patel,MQL,11/8/2025,,,,,,0,FALSE
L-1011,11/1/2025,Referral,Startup (1-10),SaaS,Priya Patel,Demo Completed,11/6/2025,11/8/2025,2,11/9/2025,,,0,FALSE
L-1012,1/11/2026,Paid Ads,Startup (1-10),FinTech,Alex Thompson,MQL,1/13/2026,,,,,,0,FALSE
L-1013,11/22/2025,Paid Ads,SMB (11-50),E-commerce,Alex Thompson,MQL,11/27/2025,,,,,,0,FALSE
L-1014,6/10/2025,Cold Outreach,Startup (1-10),SaaS,Maria Santos,MQL,6/12/2025,,,,,,0,FALSE
L-1015,3/26/2026,Paid Ads,Enterprise (200+),EdTech,Maria Santos,Closed Lost,3/31/2026,4/2/2026,2,4/3/2026,4/8/2026,,0,FALSE
L-1016,12/27/2025,Organic Search,Mid-Market (51-200),HR Tech,James Chen,Closed Lost,12/30/2025,1/11/2026,12,1/13/2026,1/14/2026,,0,FALSE
L-1017,10/20/2025,Paid Ads,Mid-Market (51-200),E-commerce,Maria Santos,Lead,,,,,,,0,FALSE
L-1018,12/13/2025,Referral,Mid-Market (51-200),Marketing,Tom Wilson,Demo Completed,12/15/2025,12/24/2025,9,12/25/2025,,,0,FALSE
L-1019,1/12/2026,Organic Search,Startup (1-10),Logistics,James Chen,MQL,1/13/2026,,,,,,0,FALSE
L-1020,6/24/2025,Organic Search,SMB (11-50),Logistics,Priya Patel,MQL,6/27/2025,,,,,,0,FALSE
L-1021,2/3/2026,Paid Ads,Startup (1-10),HealthTech,Alex Thompson,Lead,,,,,,,0,FALSE
L-1022,5/25/2025,Paid Ads,Startup (1-10),E-commerce,Tom Wilson,Demo Booked,5/30/2025,6/2/2025,3,,,,0,FALSE
L-1023,12/4/2025,Paid Ads,Startup (1-10),FinTech,Tom Wilson,Demo Booked,12/7/2025,12/12/2025,5,,,,0,FALSE
L-1024,9/30/2025,Cold Outreach,SMB (11-50),EdTech,Priya Patel,Lead,,,,,,,0,FALSE
L-1025,5/22/2025,LinkedIn,Startup (1-10),Logistics,Tom Wilson,Demo Booked,5/24/2025,5/28/2025,4,,,,0,FALSE
L-1026,2/15/2026,Paid Ads,Startup (1-10),HR Tech,Maria Santos,MQL,2/17/2026,,,,,,0,FALSE
L-1027,12/21/2025,LinkedIn,Mid-Market (51-200),E-commerce,Tom Wilson,Lead,,,,,,,0,FALSE
L-1028,6/7/2025,Referral,SMB (11-50),EdTech,Priya Patel,Closed Lost,6/10/2025,6/15/2025,5,6/18/2025,6/23/2025,,0,FALSE
L-1029,4/8/2025,Cold Outreach,SMB (11-50),HR Tech,Maria Santos,MQL,4/11/2025,,,,,,0,FALSE
L-1030,5/19/2025,Cold Outreach,Mid-Market (51-200),HealthTech,Priya Patel,Lead,,,,,,,0,FALSE
L-1031,1/21/2026,Paid Ads,Startup (1-10),HealthTech,Alex Thompson,Demo Booked,1/22/2026,1/31/2026,9,,,,0,FALSE
L-1032,1/17/2026,LinkedIn,SMB (11-50),E-commerce,Maria Santos,MQL,1/20/2026,,,,,,0,FALSE
L-1033,10/5/2025,Organic Search,Mid-Market (51-200),E-commerce,Priya Patel,MQL,10/10/2025,,,,,,0,FALSE
L-1034,3/16/2026,Organic Search,Mid-Market (51-200),HR Tech,Alex Thompson,MQL,3/17/2026,,,,,,0,FALSE
L-1035,5/24/2025,Paid Ads,Mid-Market (51-200),FinTech,James Chen,MQL,5/26/2025,,,,,,0,FALSE
L-1036,9/26/2025,LinkedIn,Startup (1-10),HR Tech,Maria Santos,MQL,10/1/2025,,,,,,0,FALSE
L-1037,11/8/2025,Organic Search,Startup (1-10),HealthTech,Priya Patel,Churned,11/11/2025,11/14/2025,3,11/17/2025,11/21/2025,12/2/2025,5814.72,TRUE
L-1038,10/3/2025,Paid Ads,SMB (11-50),Logistics,Maria Santos,Lead,,,,,,,0,FALSE
L-1039,3/17/2026,Cold Outreach,Startup (1-10),SaaS,Maria Santos,Lead,,,,,,,0,FALSE
L-1040,8/19/2025,Paid Ads,Startup (1-10),E-commerce,Maria Santos,MQL,8/22/2025,,,,,,0,FALSE
L-1041,7/4/2025,Organic Search,SMB (11-50),SaaS,Alex Thompson,Lead,,,,,,,0,FALSE
L-1042,6/24/2025,Paid Ads,Enterprise (200+),EdTech,Alex Thompson,MQL,6/28/2025,,,,,,0,FALSE
L-1043,3/21/2026,Organic Search,Mid-Market (51-200),Logistics,Alex Thompson,MQL,3/22/2026,,,,,,0,FALSE
L-1044,3/7/2026,Cold Outreach,Startup (1-10),E-commerce,Alex Thompson,Lead,,,,,,,0,FALSE
L-1045,6/17/2025,Cold Outreach,Mid-Market (51-200),EdTech,Maria Santos,Lead,,,,,,,0,FALSE
L-1046,3/12/2026,Cold Outreach,SMB (11-50),EdTech,Maria Santos,Lead,,,,,,,0,FALSE
L-1047,2/19/2026,Organic Search,Startup (1-10),HR Tech,James Chen,Closed Lost,2/24/2026,2/26/2026,2,2/27/2026,3/1/2026,,0,FALSE
L-1048,10/4/2025,Cold Outreach,Enterprise (200+),FinTech,Alex Thompson,MQL,10/7/2025,,,,,,0,FALSE
L-1049,10/28/2025,LinkedIn,Mid-Market (51-200),HR Tech,Priya Patel,Closed Lost,11/2/2025,11/8/2025,6,11/10/2025,11/15/2025,,0,FALSE
L-1050,3/26/2026,Organic Search,Startup (1-10),Logistics,Alex Thompson,MQL,3/27/2026,,,,,,0,FALSE
L-1051,10/28/2025,LinkedIn,Startup (1-10),FinTech,Tom Wilson,MQL,11/2/2025,,,,,,0,FALSE
L-1052,11/2/2025,Paid Ads,SMB (11-50),FinTech,Alex Thompson,MQL,11/6/2025,,,,,,0,FALSE
L-1053,11/24/2025,Paid Ads,Mid-Market (51-200),HealthTech,Alex Thompson,Closed Lost,11/28/2025,12/1/2025,3,12/3/2025,12/10/2025,,0,FALSE
L-1054,4/8/2025,Referral,Startup (1-10),Logistics,Maria Santos,MQL,4/11/2025,,,,,,0,FALSE
L-1055,6/27/2025,Organic Search,Mid-Market (51-200),EdTech,Alex Thompson,Lead,,,,,,,0,FALSE
L-1056,2/10/2026,Cold Outreach,Startup (1-10),Logistics,James Chen,Lead,,,,,,,0,FALSE
L-1057,2/20/2026,LinkedIn,Mid-Market (51-200),Logistics,James Chen,Closed Lost,2/22/2026,2/25/2026,3,2/26/2026,3/4/2026,,0,FALSE
L-1058,6/21/2025,Organic Search,Mid-Market (51-200),Marketing,Tom Wilson,Lead,,,,,,,0,FALSE
L-1059,2/16/2026,Paid Ads,Startup (1-10),Logistics,Maria Santos,Lead,,,,,,,0,FALSE
L-1060,10/13/2025,Paid Ads,SMB (11-50),HealthTech,Tom Wilson,MQL,10/15/2025,,,,,,0,FALSE
L-1061,3/1/2026,Referral,Mid-Market (51-200),E-commerce,James Chen,Lead,,,,,,,0,FALSE
L-1062,8/12/2025,Paid Ads,SMB (11-50),SaaS,Priya Patel,Lead,,,,,,,0,FALSE
L-1063,5/23/2025,Paid Ads,Enterprise (200+),FinTech,Tom Wilson,Demo Completed,5/28/2025,5/30/2025,2,5/30/2025,,,0,FALSE
L-1064,12/8/2025,Organic Search,Mid-Market (51-200),Logistics,Maria Santos,Demo Completed,12/12/2025,12/20/2025,8,12/22/2025,,,0,FALSE
L-1065,7/1/2025,Organic Search,Startup (1-10),Marketing,Maria Santos,Lead,,,,,,,0,FALSE
L-1066,9/25/2025,Referral,Mid-Market (51-200),HealthTech,Alex Thompson,Closed Lost,9/30/2025,10/1/2025,1,10/1/2025,10/2/2025,,0,FALSE
L-1067,5/29/2025,Organic Search,Mid-Market (51-200),SaaS,Alex Thompson,Lead,,,,,,,0,FALSE
L-1068,8/16/2025,Paid Ads,Startup (1-10),HealthTech,James Chen,MQL,8/18/2025,,,,,,0,FALSE
L-1069,12/10/2025,Paid Ads,SMB (11-50),Marketing,Priya Patel,MQL,12/14/2025,,,,,,0,FALSE
L-1070,5/23/2025,Paid Ads,Startup (1-10),Marketing,Priya Patel,Lead,,,,,,,0,FALSE
L-1071,11/8/2025,LinkedIn,SMB (11-50),SaaS,Priya Patel,Lead,,,,,,,0,FALSE
L-1072,5/26/2025,Organic Search,Mid-Market (51-200),EdTech,Tom Wilson,Demo Booked,5/30/2025,6/9/2025,10,,,,0,FALSE
L-1073,10/27/2025,Organic Search,Enterprise (200+),Marketing,Tom Wilson,Closed Won,11/1/2025,11/2/2025,1,11/3/2025,11/4/2025,11/22/2025,74781.43,FALSE
L-1074,7/19/2025,Paid Ads,SMB (11-50),FinTech,Alex Thompson,MQL,7/22/2025,,,,,,0,FALSE
L-1075,7/21/2025,Organic Search,SMB (11-50),SaaS,Tom Wilson,MQL,7/24/2025,,,,,,0,FALSE
L-1076,2/25/2026,Cold Outreach,Mid-Market (51-200),HealthTech,Tom Wilson,Lead,,,,,,,0,FALSE
L-1077,7/10/2025,LinkedIn,SMB (11-50),EdTech,James Chen,MQL,7/14/2025,,,,,,0,FALSE
L-1078,6/27/2025,Cold Outreach,SMB (11-50),HealthTech,Priya Patel,Lead,,,,,,,0,FALSE
L-1079,4/10/2025,Organic Search,Startup (1-10),FinTech,Alex Thompson,MQL,4/15/2025,,,,,,0,FALSE
L-1080,12/30/2025,Cold Outreach,Startup (1-10),Logistics,Maria Santos,Lead,,,,,,,0,FALSE
L-1081,5/19/2025,Paid Ads,Mid-Market (51-200),HealthTech,Priya Patel,Lead,,,,,,,0,FALSE
L-1082,10/22/2025,Organic Search,SMB (11-50),EdTech,Alex Thompson,Demo Booked,10/25/2025,10/26/2025,1,,,,0,FALSE
L-1083,2/11/2026,Organic Search,Mid-Market (51-200),HealthTech,Alex Thompson,Closed Won,2/13/2026,2/14/2026,1,2/17/2026,2/18/2026,3/8/2026,42484.43,FALSE
L-1084,4/23/2025,Paid Ads,Mid-Market (51-200),FinTech,Alex Thompson,Demo Completed,4/26/2025,5/10/2025,14,5/11/2025,,,0,FALSE
L-1085,1/25/2026,Organic Search,Startup (1-10),EdTech,James Chen,Lead,,,,,,,0,FALSE
L-1086,12/24/2025,Cold Outreach,SMB (11-50),HR Tech,Maria Santos,Lead,,,,,,,0,FALSE
L-1087,12/4/2025,Organic Search,Mid-Market (51-200),Marketing,Alex Thompson,MQL,12/7/2025,,,,,,0,FALSE
L-1088,3/22/2026,LinkedIn,SMB (11-50),SaaS,James Chen,Closed Lost,3/26/2026,3/27/2026,1,3/30/2026,4/1/2026,,0,FALSE
L-1089,3/29/2026,LinkedIn,SMB (11-50),EdTech,Alex Thompson,MQL,3/31/2026,,,,,,0,FALSE
L-1090,11/18/2025,Paid Ads,Startup (1-10),EdTech,Priya Patel,Lead,,,,,,,0,FALSE
L-1091,8/21/2025,Organic Search,Mid-Market (51-200),SaaS,Maria Santos,MQL,8/24/2025,,,,,,0,FALSE
L-1092,5/27/2025,Organic Search,Startup (1-10),HR Tech,Maria Santos,Closed Won,5/31/2025,6/12/2025,12,6/14/2025,6/19/2025,7/9/2025,3163.44,FALSE
L-1093,10/7/2025,Organic Search,SMB (11-50),HR Tech,Alex Thompson,MQL,10/11/2025,,,,,,0,FALSE
L-1094,1/30/2026,Organic Search,Startup (1-10),Logistics,James Chen,Closed Lost,2/4/2026,2/10/2026,6,2/10/2026,2/11/2026,,0,FALSE
L-1095,7/25/2025,Organic Search,Startup (1-10),HealthTech,Alex Thompson,Lead,,,,,,,0,FALSE
L-1096,7/22/2025,Referral,SMB (11-50),Logistics,Maria Santos,Closed Won,7/25/2025,7/27/2025,2,7/29/2025,7/30/2025,8/28/2025,13465.42,FALSE
L-1097,3/15/2026,LinkedIn,Mid-Market (51-200),E-commerce,Alex Thompson,Demo Completed,3/17/2026,3/24/2026,7,3/27/2026,,,0,FALSE
L-1098,3/14/2026,Paid Ads,Startup (1-10),HealthTech,James Chen,Lead,,,,,,,0,FALSE
L-1099,4/1/2025,Paid Ads,SMB (11-50),HR Tech,Tom Wilson,MQL,4/3/2025,,,,,,0,FALSE
L-1100,12/25/2025,Paid Ads,Startup (1-10),Marketing,James Chen,MQL,12/27/2025,,,,,,0,FALSE
L-1101,12/8/2025,Paid Ads,Mid-Market (51-200),EdTech,Priya Patel,Lead,,,,,,,0,FALSE
L-1102,10/4/2025,Cold Outreach,Startup (1-10),HR Tech,Alex Thompson,Lead,,,,,,,0,FALSE
L-1103,3/6/2026,LinkedIn,SMB (11-50),EdTech,Tom Wilson,Lead,,,,,,,0,FALSE
L-1104,3/18/2026,Cold Outreach,SMB (11-50),HealthTech,Alex Thompson,Lead,,,,,,,0,FALSE
L-1105,3/4/2026,Referral,Startup (1-10),Logistics,James Chen,Lead,,,,,,,0,FALSE
L-1106,7/15/2025,Organic Search,Startup (1-10),Logistics,Alex Thompson,Lead,,,,,,,0,FALSE
L-1107,2/15/2026,Paid Ads,Enterprise (200+),HealthTech,Alex Thompson,Lead,,,,,,,0,FALSE
L-1108,3/14/2026,Cold Outreach,SMB (11-50),E-commerce,Alex Thompson,Lead,,,,,,,0,FALSE
L-1109,7/7/2025,Paid Ads,SMB (11-50),Marketing,Alex Thompson,MQL,7/12/2025,,,,,,0,FALSE
L-1110,9/25/2025,LinkedIn,Startup (1-10),HR Tech,Tom Wilson,MQL,9/26/2025,,,,,,0,FALSE
L-1111,8/27/2025,Referral,SMB (11-50),E-commerce,Tom Wilson,Closed Lost,8/29/2025,9/4/2025,6,9/4/2025,9/11/2025,,0,FALSE
L-1112,3/5/2026,Paid Ads,SMB (11-50),Logistics,Alex Thompson,Lead,,,,,,,0,FALSE
L-1113,3/7/2026,Paid Ads,Startup (1-10),Marketing,Tom Wilson,Lead,,,,,,,0,FALSE
L-1114,7/10/2025,Organic Search,Enterprise (200+),Marketing,James Chen,Demo Completed,7/11/2025,7/23/2025,12,7/26/2025,,,0,FALSE
L-1115,1/31/2026,Cold Outreach,Startup (1-10),Marketing,Alex Thompson,Lead,,,,,,,0,FALSE
L-1116,6/11/2025,Organic Search,Mid-Market (51-200),EdTech,Tom Wilson,Lead,,,,,,,0,FALSE
L-1117,9/4/2025,Paid Ads,Startup (1-10),SaaS,Alex Thompson,MQL,9/9/2025,,,,,,0,FALSE
L-1118,6/10/2025,Organic Search,Startup (1-10),Logistics,Maria Santos,Churned,6/13/2025,6/16/2025,3,6/19/2025,6/24/2025,7/14/2025,2718.34,TRUE
L-1119,2/12/2026,Cold Outreach,Mid-Market (51-200),EdTech,James Chen,Lead,,,,,,,0,FALSE
L-1120,10/24/2025,Organic Search,Startup (1-10),Logistics,James Chen,MQL,10/28/2025,,,,,,0,FALSE
L-1121,4/29/2025,LinkedIn,SMB (11-50),FinTech,Maria Santos,Closed Lost,4/30/2025,5/1/2025,1,5/1/2025,5/6/2025,,0,FALSE
L-1122,6/13/2025,LinkedIn,Startup (1-10),SaaS,Tom Wilson,Demo Booked,6/17/2025,6/26/2025,9,,,,0,FALSE
L-1123,5/5/2025,Cold Outreach,Mid-Market (51-200),SaaS,Maria Santos,MQL,5/10/2025,,,,,,0,FALSE
L-1124,4/13/2025,Organic Search,Startup (1-10),HealthTech,Priya Patel,Lead,,,,,,,0,FALSE
L-1125,10/25/2025,Organic Search,Startup (1-10),HealthTech,Alex Thompson,MQL,10/27/2025,,,,,,0,FALSE
L-1126,6/3/2025,LinkedIn,SMB (11-50),HR Tech,Tom Wilson,Demo Completed,6/4/2025,6/6/2025,2,6/7/2025,,,0,FALSE
L-1127,3/8/2026,Paid Ads,Mid-Market (51-200),HR Tech,Alex Thompson,MQL,3/12/2026,,,,,,0,FALSE
L-1128,4/15/2025,Paid Ads,SMB (11-50),Logistics,James Chen,MQL,4/16/2025,,,,,,0,FALSE
L-1129,9/29/2025,Paid Ads,SMB (11-50),HR Tech,Maria Santos,Lead,,,,,,,0,FALSE
L-1130,6/21/2025,Organic Search,Mid-Market (51-200),Marketing,Maria Santos,Closed Won,6/26/2025,6/30/2025,4,7/2/2025,7/7/2025,8/5/2025,43759.92,FALSE
L-1131,2/25/2026,LinkedIn,Mid-Market (51-200),Logistics,Maria Santos,MQL,3/1/2026,,,,,,0,FALSE
L-1132,3/24/2026,Paid Ads,Mid-Market (51-200),Marketing,James Chen,Demo Booked,3/29/2026,4/2/2026,4,,,,0,FALSE
L-1133,3/14/2026,Paid Ads,Startup (1-10),HealthTech,Priya Patel,MQL,3/16/2026,,,,,,0,FALSE
L-1134,6/29/2025,LinkedIn,Mid-Market (51-200),SaaS,Maria Santos,Lead,,,,,,,0,FALSE
L-1135,2/8/2026,Organic Search,Enterprise (200+),HealthTech,Maria Santos,MQL,2/9/2026,,,,,,0,FALSE
L-1136,9/12/2025,Paid Ads,Mid-Market (51-200),FinTech,James Chen,Closed Won,9/16/2025,9/18/2025,2,9/20/2025,9/26/2025,10/19/2025,42260.17,FALSE
L-1137,4/18/2025,Organic Search,Mid-Market (51-200),HealthTech,James Chen,Lead,,,,,,,0,FALSE
L-1138,1/5/2026,Cold Outreach,SMB (11-50),Logistics,Tom Wilson,Lead,,,,,,,0,FALSE
L-1139,7/16/2025,Paid Ads,Mid-Market (51-200),HR Tech,James Chen,Lead,,,,,,,0,FALSE
L-1140,11/11/2025,Organic Search,SMB (11-50),E-commerce,Maria Santos,MQL,11/15/2025,,,,,,0,FALSE
L-1141,5/31/2025,Organic Search,Startup (1-10),Marketing,Maria Santos,MQL,6/1/2025,,,,,,0,FALSE
L-1142,10/17/2025,Paid Ads,Startup (1-10),Marketing,Alex Thompson,Lead,,,,,,,0,FALSE
L-1143,12/30/2025,Paid Ads,Mid-Market (51-200),Marketing,Maria Santos,MQL,1/4/2026,,,,,,0,FALSE
L-1144,3/24/2026,Organic Search,SMB (11-50),FinTech,Tom Wilson,Lead,,,,,,,0,FALSE
L-1145,4/17/2025,Organic Search,Enterprise (200+),Marketing,Maria Santos,Demo Booked,4/20/2025,4/21/2025,1,,,,0,FALSE
L-1146,12/9/2025,Paid Ads,Mid-Market (51-200),FinTech,James Chen,MQL,12/14/2025,,,,,,0,FALSE
L-1147,5/7/2025,LinkedIn,Mid-Market (51-200),FinTech,Alex Thompson,Lead,,,,,,,0,FALSE
L-1148,12/2/2025,Organic Search,SMB (11-50),HealthTech,Tom Wilson,Lead,,,,,,,0,FALSE
L-1149,12/16/2025,Paid Ads,Startup (1-10),FinTech,Priya Patel,Demo Completed,12/19/2025,12/22/2025,3,12/23/2025,,,0,FALSE
L-1150,12/3/2025,LinkedIn,Mid-Market (51-200),FinTech,Tom Wilson,MQL,12/7/2025,,,,,,0,FALSE
L-1151,11/11/2025,Organic Search,SMB (11-50),E-commerce,Maria Santos,MQL,11/16/2025,,,,,,0,FALSE
L-1152,7/31/2025,Organic Search,Startup (1-10),Logistics,Maria Santos,Demo Booked,8/5/2025,8/9/2025,4,,,,0,FALSE
L-1153,4/30/2025,Paid Ads,Mid-Market (51-200),FinTech,Maria Santos,Demo Booked,5/2/2025,5/12/2025,10,,,,0,FALSE
L-1154,3/3/2026,Cold Outreach,Startup (1-10),Logistics,Priya Patel,Demo Booked,3/4/2026,3/16/2026,12,,,,0,FALSE
L-1155,10/5/2025,Cold Outreach,Mid-Market (51-200),HR Tech,Alex Thompson,Lead,,,,,,,0,FALSE
L-1156,3/24/2026,Paid Ads,Mid-Market (51-200),Marketing,Alex Thompson,Demo Completed,3/25/2026,3/29/2026,4,3/30/2026,,,0,FALSE
L-1157,10/8/2025,Organic Search,SMB (11-50),SaaS,Maria Santos,Closed Won,10/10/2025,10/22/2025,12,10/22/2025,10/29/2025,11/13/2025,13058.88,FALSE
L-1158,4/10/2025,Cold Outreach,Startup (1-10),Logistics,Priya Patel,Lead,,,,,,,0,FALSE
L-1159,7/4/2025,Organic Search,Startup (1-10),SaaS,Priya Patel,Lead,,,,,,,0,FALSE
L-1160,9/26/2025,Organic Search,Mid-Market (51-200),FinTech,Tom Wilson,Lead,,,,,,,0,FALSE
L-1161,1/28/2026,Cold Outreach,Mid-Market (51-200),EdTech,Alex Thompson,Demo Booked,1/29/2026,2/9/2026,11,,,,0,FALSE
L-1162,12/30/2025,LinkedIn,Mid-Market (51-200),Logistics,Alex Thompson,MQL,1/4/2026,,,,,,0,FALSE
L-1163,7/31/2025,LinkedIn,Startup (1-10),Logistics,Priya Patel,Demo Booked,8/1/2025,8/7/2025,6,,,,0,FALSE
L-1164,8/19/2025,Paid Ads,SMB (11-50),FinTech,Tom Wilson,MQL,8/22/2025,,,,,,0,FALSE
L-1165,1/17/2026,LinkedIn,SMB (11-50),HealthTech,Alex Thompson,Lead,,,,,,,0,FALSE
L-1166,4/9/2025,LinkedIn,Mid-Market (51-200),HR Tech,Priya Patel,Closed Lost,4/13/2025,4/25/2025,12,4/28/2025,4/29/2025,,0,FALSE
L-1167,7/2/2025,Referral,SMB (11-50),HealthTech,Priya Patel,Closed Won,7/5/2025,7/9/2025,4,7/9/2025,7/15/2025,8/12/2025,12080.63,FALSE
L-1168,8/11/2025,Paid Ads,SMB (11-50),SaaS,Maria Santos,Lead,,,,,,,0,FALSE
L-1169,4/23/2025,Paid Ads,Mid-Market (51-200),EdTech,Tom Wilson,Lead,,,,,,,0,FALSE
L-1170,12/18/2025,Paid Ads,Startup (1-10),HR Tech,Maria Santos,Closed Lost,12/20/2025,12/23/2025,3,12/25/2025,12/28/2025,,0,FALSE
L-1171,8/29/2025,Organic Search,Enterprise (200+),EdTech,Priya Patel,Demo Completed,8/31/2025,9/7/2025,7,9/8/2025,,,0,FALSE
L-1172,10/11/2025,Organic Search,Mid-Market (51-200),EdTech,James Chen,Lead,,,,,,,0,FALSE
L-1173,5/10/2025,Paid Ads,Mid-Market (51-200),Logistics,Maria Santos,Lead,,,,,,,0,FALSE
L-1174,6/2/2025,Cold Outreach,SMB (11-50),Logistics,Tom Wilson,Lead,,,,,,,0,FALSE
L-1175,12/23/2025,Organic Search,Startup (1-10),HR Tech,Tom Wilson,Demo Booked,12/26/2025,12/29/2025,3,,,,0,FALSE
L-1176,3/21/2026,Cold Outreach,Startup (1-10),EdTech,Maria Santos,MQL,3/25/2026,,,,,,0,FALSE
L-1177,2/4/2026,Organic Search,SMB (11-50),EdTech,Priya Patel,Demo Booked,2/8/2026,2/10/2026,2,,,,0,FALSE
L-1178,9/22/2025,Referral,Mid-Market (51-200),Marketing,Alex Thompson,Demo Booked,9/23/2025,9/25/2025,2,,,,0,FALSE
L-1179,6/25/2025,Paid Ads,Startup (1-10),HR Tech,Maria Santos,MQL,6/28/2025,,,,,,0,FALSE
L-1180,4/18/2025,LinkedIn,SMB (11-50),HealthTech,James Chen,Lead,,,,,,,0,FALSE
L-1181,12/20/2025,Paid Ads,Startup (1-10),HealthTech,James Chen,Lead,,,,,,,0,FALSE
L-1182,10/23/2025,Cold Outreach,Enterprise (200+),EdTech,James Chen,Lead,,,,,,,0,FALSE
L-1183,1/28/2026,Paid Ads,Startup (1-10),EdTech,Alex Thompson,Lead,,,,,,,0,FALSE
L-1184,11/16/2025,Paid Ads,Mid-Market (51-200),HealthTech,Alex Thompson,Lead,,,,,,,0,FALSE
L-1185,12/1/2025,Referral,Mid-Market (51-200),Logistics,Alex Thompson,Demo Completed,12/3/2025,12/10/2025,7,12/12/2025,,,0,FALSE
L-1186,1/27/2026,Organic Search,SMB (11-50),E-commerce,Tom Wilson,Closed Lost,1/28/2026,2/1/2026,4,2/4/2026,2/8/2026,,0,FALSE
L-1187,12/22/2025,Paid Ads,Startup (1-10),SaaS,Priya Patel,Demo Completed,12/27/2025,12/30/2025,3,1/2/2026,,,0,FALSE
L-1188,5/25/2025,Cold Outreach,Startup (1-10),Marketing,Tom Wilson,Lead,,,,,,,0,FALSE
L-1189,12/17/2025,Referral,Startup (1-10),SaaS,Tom Wilson,Demo Completed,12/18/2025,12/19/2025,1,12/22/2025,,,0,FALSE
L-1190,12/23/2025,Paid Ads,Startup (1-10),Logistics,Priya Patel,Closed Lost,12/27/2025,12/28/2025,1,12/30/2025,1/1/2026,,0,FALSE
